angle,resolution,TGPL,TGP,TGPLM,TGPH,TGPLMH,TG,TGPLH,GP,P,TPL,TPH,PL,G,TGPM,TGPMH,GPL,TP,T,TGBP,TPLH,GW,W,PH,TPLM,TGWP,TPLMH,TPMH,TGW,TGB,GB,B,GBP,TGBWP,GPH,TPM,TGBPL,PM,PLH,TGWPL,PLM,GPLM,GPM,BW,TGBW,WP,GWP,GPLH,L,TGBWPL,PLMH,BP,PMH,GBW,TGBPLMH,TW,GBWP,GPLMH,TGBPLM,H,TGBWPLMH,TGBPH,TGL,TWP,TGWPLM,TBP,TGBWPLM,GPMH,M,TGBPM,BWP,TGWPH,WPL,GBPL,TGWPLMH,TGBPLH,GWPL,TB,TGH,TGBWPM,TGBWPH,TWPL,TBWP,BPL,TGWPLH,TBPL,TGBWPLH,TBW,TGWPM,GBPM,TGBPMH,GBPH,GL,WL,GBWPL,WPH,TL,GWPH,TGM,TGBL,TH,LH,TBPH,TWPH,TBWPL,TGWL,GH,BWPL,BL,LM,TGWPMH,TBPM,TGLM,GBL,BPH,GBWPM,GBPLM,BPM,GBWPH,GM,TGBWPMH,TGBWL,GWPLH,TBPLM,GWPM,WPM,TBL,MH,GWPLM,TM,TBPLH,TWPLH,TBWPM,WPLH,TWPLM,TGLH,BWPM,WPLM,TGBH,TGMH,GBWL,GBPLH,BWL,LMH,TBPMH,GBWM,WH,BPLM,GBWPLM,TWPM,GBPMH,TGBM,GBH,TBWPH,TBPLMH,TLH,BWPH,TGWM,TBWPLM,TBWPLH,TGLMH,GLH,GWL,GBM,TWL,GBPLMH,TLM,BH,TGBWM,TLMH,TGBWH,BPLH,GLM,GWPMH,GBWPLH,BM,GWH,GWPLMH,BPMH,BWPLM,TGWH,TMH,BWM,GLMH,TBWPLMH,BPLMH,WPMH,TGBLM,BWPLH,WPLMH,GBWPMH,GMH,GWM,TBWL,TBH,TGWLH,TWPLMH,TGWMH,TWPMH,TWM,GBWPLMH,TGWLM,TBWPMH,TGBLH,GWLH,TBM,BMH,GBWH,TGBWLH,TBLM,WLH
120,200,3405,899,3108,435,5407,170,990,224,56,7,9,16,55,159,207,32,6,3,441,17,241,173,NA,1,568,31,6,174,74,46,51,71,584,2,3,455,26,NA,518,NA,1,51,61,138,41,55,1,1,350,NA,11,1,44,267,2,61,1,254,NA,36,81,2,12,197,2,132,NA,NA,35,23,94,10,9,86,107,14,5,NA,51,58,6,5,1,79,4,43,2,17,7,26,NA,NA,3,7,2,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,18,1,NA,1,NA,1,NA,NA,6,NA,9,1,2,1,NA,NA,NA,NA,1,NA,1,3,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,200,3390,928,3124,407,5453,172,984,216,49,13,12,17,47,147,206,35,5,5,441,13,240,160,NA,2,577,32,4,172,82,40,52,77,585,NA,2,424,26,NA,513,1,NA,48,66,134,41,60,3,NA,336,NA,13,1,40,254,2,67,1,269,NA,42,88,1,7,202,6,121,1,NA,43,10,100,14,7,87,119,18,3,NA,39,62,4,7,4,85,3,39,2,30,6,30,1,NA,4,8,2,1,4,NA,1,NA,NA,1,4,1,3,NA,1,NA,NA,10,NA,NA,NA,NA,NA,1,NA,3,NA,5,3,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,200,3419,902,3107,391,5479,183,988,215,55,16,8,14,40,158,224,30,10,NA,442,12,244,170,1,2,587,31,4,175,75,42,50,75,588,3,3,421,23,NA,504,NA,NA,51,63,131,40,54,2,3,338,NA,9,1,39,260,2,60,3,261,NA,38,75,2,11,187,7,117,NA,NA,41,13,103,14,7,95,133,16,2,NA,42,59,3,12,3,84,2,44,5,14,3,26,NA,NA,4,10,3,NA,4,NA,NA,NA,NA,1,4,4,3,NA,2,NA,NA,17,NA,NA,NA,NA,4,NA,NA,5,NA,8,3,1,1,NA,NA,1,NA,NA,NA,3,3,NA,1,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,200,3439,927,3139,426,5405,178,951,214,50,16,7,17,36,142,214,23,13,5,463,10,257,162,1,2,560,35,5,165,66,38,49,62,568,3,2,472,24,NA,497,NA,2,49,69,141,50,51,4,NA,332,NA,11,NA,45,267,2,64,4,236,NA,43,73,2,8,205,2,117,NA,NA,36,17,104,9,3,96,134,13,3,NA,45,63,4,5,2,89,4,47,3,15,6,28,3,NA,2,9,3,NA,3,NA,NA,NA,NA,1,3,4,2,NA,3,NA,NA,9,1,NA,NA,NA,1,NA,NA,1,NA,5,4,1,NA,NA,1,NA,NA,NA,NA,1,4,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
160,200,3407,916,3153,400,5409,171,996,225,40,14,10,18,35,149,219,22,8,3,434,10,266,170,3,1,575,35,7,168,70,44,46,62,596,2,3,446,21,NA,525,NA,NA,48,63,134,41,55,3,2,332,NA,8,1,34,244,1,63,2,244,NA,30,87,1,9,195,2,127,1,1,38,13,104,15,4,81,119,16,3,NA,49,74,4,5,5,83,2,47,5,18,5,28,NA,1,4,9,4,NA,4,NA,1,NA,NA,NA,3,1,1,NA,3,NA,NA,14,1,NA,NA,NA,NA,2,NA,1,NA,8,4,NA,1,1,1,NA,NA,2,NA,1,3,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,200,3405,896,3119,445,5407,166,998,227,49,9,12,17,36,169,219,24,8,5,431,12,238,178,NA,1,565,34,5,165,82,33,48,72,604,1,4,452,15,1,508,NA,1,53,67,131,50,66,4,NA,335,NA,9,1,36,271,2,57,3,248,NA,40,93,NA,9,190,3,117,NA,NA,25,13,112,9,7,93,114,18,1,NA,53,60,3,8,2,84,NA,47,1,19,5,24,2,NA,3,8,2,NA,4,NA,2,NA,NA,1,1,5,2,NA,3,NA,NA,11,NA,NA,NA,NA,NA,1,NA,2,NA,4,1,NA,1,NA,NA,NA,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,200,3428,930,3133,411,5439,172,979,214,50,14,9,13,37,153,199,32,10,4,435,14,241,172,NA,2,561,34,7,185,80,33,51,66,585,2,2,447,21,1,505,1,NA,55,64,129,55,54,3,1,336,NA,11,1,32,262,1,60,2,275,NA,33,86,NA,5,185,1,113,2,NA,32,16,109,11,8,80,115,14,3,NA,49,55,5,7,2,76,1,45,1,23,5,24,2,NA,1,8,2,NA,7,NA,2,NA,NA,1,4,2,4,NA,2,1,NA,17,NA,NA,NA,NA,NA,NA,NA,5,NA,8,4,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100,21332,7266,10681,3891,10828,1815,4709,1349,562,371,355,330,466,798,1472,305,150,180,1703,338,879,672,91,131,1534,504,152,708,455,283,258,363,931,93,18,879,189,46,761,26,47,151,219,372,178,200,64,13,312,35,55,24,122,89,49,162,41,251,1,3,206,11,42,124,19,47,16,NA,97,57,148,49,45,14,108,51,13,1,48,34,28,28,15,43,19,10,11,51,11,34,12,NA,10,15,11,NA,14,NA,8,NA,NA,7,13,11,7,NA,9,5,NA,12,1,NA,1,1,2,1,NA,6,NA,2,5,3,5,1,4,4,NA,3,NA,NA,2,2,5,2,NA,3,1,NA,NA,3,2,2,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,2,NA,3,NA,1,2,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,100,21307,7203,10686,3891,10995,1836,4697,1346,536,315,340,308,434,774,1459,304,131,172,1681,374,884,641,99,114,1555,479,153,673,456,284,249,361,951,84,17,881,183,51,820,28,40,158,237,373,175,222,54,10,305,43,57,15,138,92,50,172,39,245,4,3,200,8,46,137,21,62,13,2,105,59,133,55,35,17,107,56,16,2,47,31,24,16,16,46,19,13,10,35,13,42,12,NA,9,17,16,NA,16,NA,5,NA,NA,5,10,11,8,NA,6,1,NA,11,4,NA,1,NA,4,5,2,8,NA,4,5,6,2,6,NA,3,NA,2,NA,2,1,1,1,6,NA,3,1,1,NA,1,3,1,NA,2,1,NA,NA,1,1,NA,NA,NA,1,2,NA,1,NA,1,NA,NA,NA,NA,NA,1,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
20,100,21108,7183,10786,3913,11064,1814,4722,1332,545,322,370,299,462,786,1476,309,130,155,1767,355,898,681,80,108,1571,469,143,676,456,275,239,351,931,94,20,948,177,57,783,22,38,155,239,374,184,204,51,10,328,39,47,15,134,102,48,153,42,236,4,3,198,12,44,124,27,50,15,4,110,42,131,44,39,18,108,52,21,2,49,21,19,29,14,53,20,13,11,40,9,39,21,1,6,15,16,NA,16,1,3,NA,NA,5,9,8,7,NA,12,1,NA,6,NA,NA,NA,2,3,4,1,6,NA,5,7,6,1,2,1,4,NA,3,NA,4,4,NA,2,2,NA,2,2,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,1,NA,NA,2,NA,NA,2,NA,1,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,100,21265,7188,10693,3874,10995,1796,4701,1292,573,322,372,302,484,789,1474,297,145,177,1733,359,894,665,85,121,1556,491,123,686,449,280,248,359,926,91,28,930,175,54,805,30,36,160,225,369,148,207,55,8,346,38,63,19,134,92,39,167,36,239,3,3,201,16,50,118,16,57,12,1,103,60,136,42,38,21,131,54,23,1,51,29,29,26,17,48,14,12,13,37,9,38,7,NA,9,21,11,NA,17,NA,4,NA,NA,8,11,8,7,NA,7,1,NA,6,2,NA,1,3,7,2,1,8,NA,5,5,3,3,4,2,4,NA,4,NA,3,5,2,6,2,NA,2,3,NA,NA,2,NA,2,NA,NA,NA,1,NA,1,1,2,NA,NA,1,1,NA,1,2,1,2,NA,NA,NA,NA,NA,3,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,100,21113,7204,10729,3895,11085,1804,4760,1339,568,325,354,317,449,779,1435,311,135,164,1696,380,897,656,74,116,1545,451,145,684,436,277,240,367,931,88,22,941,167,40,827,34,43,158,246,374,157,207,58,8,301,34,61,17,131,98,56,168,39,251,5,2,221,20,48,125,31,58,18,2,110,40,140,50,42,16,112,47,17,1,47,42,22,22,12,58,13,12,11,41,8,36,8,NA,9,19,11,1,14,NA,7,NA,NA,8,14,13,3,NA,8,2,NA,10,NA,NA,2,2,3,8,3,6,NA,NA,4,3,2,1,1,3,NA,2,NA,1,2,1,5,2,NA,NA,3,NA,NA,2,2,1,NA,NA,1,NA,NA,1,1,1,NA,NA,1,2,NA,2,2,2,1,NA,NA,1,NA,NA,3,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,100,21199,7097,10680,3880,11211,1835,4724,1342,546,334,354,315,453,810,1482,307,139,173,1721,336,883,675,85,87,1538,477,128,700,469,264,232,359,966,74,17,902,168,49,814,31,48,168,238,373,172,195,58,12,310,32,59,20,140,91,40,164,38,236,2,1,191,12,47,119,32,56,16,2,104,54,158,48,46,27,124,42,15,NA,47,30,24,31,10,46,15,13,10,35,6,45,10,NA,10,13,11,1,18,NA,6,NA,NA,6,17,12,4,NA,9,1,NA,6,1,NA,NA,NA,7,4,1,4,NA,7,3,8,6,1,NA,5,NA,3,NA,3,1,1,3,2,NA,NA,2,1,NA,2,3,2,NA,1,NA,NA,NA,NA,NA,3,NA,NA,2,1,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,100,21215,7136,10742,3862,11029,1847,4793,1351,543,387,334,303,437,769,1469,274,149,177,1691,362,887,648,89,107,1520,470,136,693,475,265,242,356,927,77,13,923,171,48,814,30,44,147,247,344,168,213,47,5,319,44,61,20,152,99,48,145,36,251,2,4,200,11,46,133,32,55,16,1,106,64,152,47,36,23,131,55,14,NA,51,31,29,20,15,47,18,14,10,42,14,36,11,NA,10,21,11,NA,11,1,5,NA,1,4,13,7,7,NA,7,2,NA,7,3,NA,1,2,7,4,2,8,NA,3,4,6,3,1,2,4,NA,1,NA,1,4,1,5,2,NA,1,2,1,NA,NA,2,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,4,NA,1,1,2,4,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,100,21223,7206,10622,3935,11014,1821,4687,1346,507,348,326,300,442,838,1454,299,140,176,1686,361,898,661,87,106,1540,483,146,701,471,270,240,334,982,88,23,917,170,53,817,29,43,155,246,365,165,190,69,11,306,35,59,15,131,96,40,161,31,244,4,3,205,14,70,135,26,56,15,4,100,53,157,51,39,18,121,47,14,1,46,33,28,24,21,58,15,10,18,39,15,43,13,2,8,14,12,NA,15,NA,3,NA,NA,10,12,10,10,NA,8,2,NA,12,NA,NA,1,1,6,5,1,4,1,4,9,1,2,NA,3,4,NA,2,NA,5,4,1,4,2,NA,1,1,NA,NA,1,2,1,NA,NA,2,NA,NA,1,1,2,NA,NA,1,1,NA,3,NA,3,1,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,100,21280,7139,10700,3965,10955,1818,4708,1346,557,340,339,307,477,811,1477,308,149,165,1697,341,892,674,80,112,1553,478,158,665,481,266,246,372,955,94,14,882,177,53,809,27,45,152,236,363,163,211,51,8,321,37,52,18,131,86,45,151,29,252,1,4,200,15,44,130,31,54,16,3,91,60,142,45,42,21,110,59,23,NA,52,30,22,22,14,57,10,14,14,50,14,34,9,1,9,15,12,1,14,NA,6,NA,1,2,13,10,8,NA,8,5,NA,6,2,NA,1,3,4,4,NA,7,NA,3,3,5,2,NA,1,2,NA,4,NA,2,3,1,2,2,NA,1,3,1,NA,1,3,1,NA,1,1,NA,NA,2,1,2,1,NA,2,4,NA,NA,NA,2,5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,100,21335,7266,10679,3891,10829,1814,4709,1349,562,371,355,330,466,798,1473,305,150,180,1704,338,879,672,91,131,1534,504,151,708,455,283,258,363,930,93,18,879,189,46,761,26,47,151,219,372,178,200,64,13,312,35,55,24,122,88,49,162,41,251,1,3,206,11,42,124,19,47,16,NA,97,57,148,49,45,14,108,51,13,1,48,34,28,28,15,43,19,10,11,51,11,34,12,NA,10,15,11,NA,14,NA,8,NA,NA,7,13,11,7,NA,9,5,NA,12,1,NA,1,1,2,1,NA,6,NA,2,5,3,5,2,3,4,NA,3,NA,NA,2,2,5,2,NA,3,1,NA,NA,3,2,2,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,2,NA,3,NA,1,2,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,100,21307,7203,10686,3891,10995,1836,4697,1346,536,315,340,308,434,774,1459,304,131,172,1681,374,884,641,99,114,1555,479,153,673,456,284,249,361,951,84,17,881,183,51,820,28,40,158,237,373,175,222,54,10,305,43,57,15,138,92,50,172,39,245,4,3,200,8,46,137,21,62,13,2,105,59,133,55,35,17,107,56,16,2,47,31,24,16,16,46,19,13,10,35,13,42,12,NA,9,17,16,NA,16,NA,5,NA,NA,5,10,11,8,NA,6,1,NA,11,4,NA,1,NA,4,5,2,8,NA,4,5,6,2,6,NA,3,NA,2,NA,2,1,1,1,6,NA,3,1,1,NA,1,3,1,NA,2,1,NA,NA,1,1,NA,NA,NA,1,2,NA,1,NA,1,NA,NA,NA,NA,NA,1,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
110,100,21108,7183,10786,3913,11064,1814,4722,1332,545,322,370,299,462,786,1476,309,130,155,1767,355,898,681,80,108,1571,469,143,676,456,275,239,351,931,94,20,948,177,57,783,22,38,155,239,374,184,204,51,10,328,39,47,15,134,102,48,153,42,236,4,3,198,12,44,124,27,50,15,4,110,42,131,44,39,18,108,52,21,2,49,21,19,29,14,53,20,13,11,40,9,39,21,1,6,15,16,NA,16,1,3,NA,NA,5,9,8,7,NA,12,1,NA,6,NA,NA,NA,2,3,4,1,6,NA,5,7,6,1,2,1,4,NA,3,NA,4,4,NA,2,2,NA,2,2,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,1,NA,NA,2,NA,NA,2,NA,1,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,100,21265,7188,10693,3874,10995,1796,4701,1292,573,322,372,302,484,789,1474,297,145,177,1733,359,894,665,85,121,1556,491,123,686,449,280,248,359,926,91,28,930,175,54,805,30,36,160,225,369,148,207,55,8,346,38,63,19,134,92,39,167,36,239,3,3,201,16,50,118,16,57,12,1,103,60,136,42,38,21,131,54,23,1,51,29,29,26,17,48,14,12,13,37,9,38,7,NA,9,21,11,NA,17,NA,4,NA,NA,8,11,8,7,NA,7,1,NA,6,2,NA,1,3,7,2,1,8,NA,5,5,3,3,4,2,4,NA,4,NA,3,5,2,6,2,NA,2,3,NA,NA,2,NA,2,NA,NA,NA,1,NA,1,1,2,NA,NA,1,1,NA,1,2,1,2,NA,NA,NA,NA,NA,3,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,100,21113,7204,10729,3895,11085,1804,4760,1339,568,325,354,317,449,779,1435,311,135,164,1696,380,897,656,74,116,1545,451,145,684,436,277,240,367,931,88,22,941,167,40,827,34,43,158,246,374,157,207,58,8,301,34,61,17,131,98,56,168,39,251,5,2,221,20,48,125,31,58,18,2,110,40,140,50,42,16,112,47,17,1,47,42,22,22,12,58,13,12,11,41,8,36,8,NA,9,19,11,1,14,NA,7,NA,NA,8,14,13,3,NA,8,2,NA,10,NA,NA,2,2,3,8,3,6,NA,NA,4,3,2,1,1,3,NA,2,NA,1,2,1,5,2,NA,NA,3,NA,NA,2,2,1,NA,NA,1,NA,NA,1,1,1,NA,NA,1,2,NA,2,2,2,1,NA,NA,1,NA,NA,3,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,100,21199,7097,10680,3880,11211,1835,4724,1342,546,334,354,315,453,810,1482,307,139,173,1721,336,883,675,85,87,1538,477,128,700,469,264,232,359,966,74,17,902,168,49,814,31,48,168,238,373,172,195,58,12,310,32,59,20,140,91,40,164,38,236,2,1,191,12,47,119,32,56,16,2,104,54,158,48,46,27,124,42,15,NA,47,30,24,31,10,46,15,13,10,35,6,45,10,NA,10,13,11,1,18,NA,6,NA,NA,6,17,12,4,NA,9,1,NA,6,1,NA,NA,NA,7,4,1,4,NA,7,3,8,6,1,NA,5,NA,3,NA,3,1,1,3,2,NA,NA,2,1,NA,2,3,2,NA,1,NA,NA,NA,NA,NA,3,NA,NA,2,1,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,100,21215,7136,10742,3862,11029,1847,4793,1351,543,387,334,303,437,769,1469,274,149,177,1691,362,887,648,89,107,1520,470,136,693,475,265,242,356,927,77,13,923,171,48,814,30,44,147,247,344,168,213,47,5,319,44,61,20,152,99,48,145,36,251,2,4,200,11,46,133,32,55,16,1,106,64,152,47,36,23,131,55,14,NA,51,31,29,20,15,47,18,14,10,42,14,36,11,NA,10,21,11,NA,11,1,5,NA,1,4,13,7,7,NA,7,2,NA,7,3,NA,1,2,7,4,2,8,NA,3,4,6,3,1,2,4,NA,1,NA,1,4,1,5,2,NA,1,2,1,NA,NA,2,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,4,NA,1,1,2,4,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,100,21223,7206,10622,3935,11014,1821,4687,1346,507,348,326,300,442,838,1454,299,140,176,1686,361,898,661,87,106,1540,483,146,701,471,270,240,334,982,88,23,917,170,53,817,29,43,155,246,365,165,190,69,11,306,35,59,15,131,96,40,161,31,244,4,3,205,14,70,135,26,56,15,4,100,53,157,51,39,18,121,47,14,1,46,33,28,24,21,58,15,10,18,39,15,43,13,2,8,14,12,NA,15,NA,3,NA,NA,10,12,10,10,NA,8,2,NA,12,NA,NA,1,1,6,5,1,4,1,4,9,1,2,NA,3,4,NA,2,NA,5,4,1,4,2,NA,1,1,NA,NA,1,2,1,NA,NA,2,NA,NA,1,1,2,NA,NA,1,1,NA,3,NA,3,1,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,100,21280,7139,10700,3965,10955,1818,4708,1346,557,340,339,307,477,811,1477,308,149,165,1697,341,892,674,80,112,1553,478,158,665,481,266,246,372,955,94,14,882,177,53,809,27,45,152,236,363,163,211,51,8,321,37,52,18,131,86,45,151,29,252,1,4,200,15,44,130,31,54,16,3,91,60,142,45,42,21,110,59,23,NA,52,30,22,22,14,57,10,14,14,50,14,34,9,1,9,15,12,1,14,NA,6,NA,1,2,13,10,8,NA,8,5,NA,6,2,NA,1,3,4,4,NA,7,NA,3,3,5,2,NA,1,2,NA,4,NA,2,3,1,2,2,NA,1,3,1,NA,1,3,1,NA,1,1,NA,NA,2,1,2,1,NA,2,4,NA,NA,NA,2,5,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
